Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,MEX,Mexico,2020,Female,Age80_84,[80-84],49302,100,,8183.746709
CSA,Central and South America,MEX,Mexico,2020,Female,Age85_over,[85+],88438,100,,15043.21365
CSA,Central and South America,MEX,Mexico,2020,Female,Age_unknown,[Unknown],402,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age00,[0],78,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age01_04,[1-4],1,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age05_09,[5-9],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age10_14,[10-14],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age15_19,[15-19],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age20_24,[20-24],6,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age25_29,[25-29],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age30_34,[30-34],4,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age35_39,[35-39],3,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age40_44,[40-44],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age45_49,[45-49],6,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age50_54,[50-54],5,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age55_59,[55-59],9,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age60_64,[60-64],36,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age65_69,[65-69],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age70_74,[70-74],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age75_79,[75-79],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age80_84,[80-84],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age85_over,[85+],24,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age_unknown,[Unknown],333,100,,
